"","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MITOTIC_SPINDLE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_DNA_REPAIR","HALLMARK_G2M_CHECKPOINT","HALLMARK_APOPTOSIS","HALLMARK_NOTCH_SIGNALING","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_MYOGENESIS","HALLMARK_PROTEIN_SECRETION","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_SURFACE","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_COMPLEMENT","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V2","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_P53_PATHWAY","HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_DN","HALLMARK_ANGIOGENESIS","HALLMARK_HEME_METABOLISM","HALLMARK_COAGULATION","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PEROXISOME","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_SPERMATOGENESIS","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_PANCREAS_BETA_CELLS"
"122","NINJ1","CDKN1B","Havenogene","CDK1","Havenogene","Havenogene","Havenogene","BCAM","ATRX","GSTM1","Havenogene","LAMA4","BLVRB","IGSF1","Havenogene","MYH11","Havenogene","Havenogene","GBP6","KRT31","Havenogene","Havenogene","FYN","Havenogene","Havenogene","PSMC4","MYC","EIF4E","Havenogene","MYL9","RGS16","ETS2","ACSL4","PDHX","NSDHL","Havenogene","VDR","BTG1","MGLL","Havenogene","PIGQ","CFD","FURIN","Havenogene","Havenogene","MAP4K1","STRBP","ERO1A","TG","Havenogene"
"123","ZBTB10","BRS3","Havenogene","RAB3GAP1","Havenogene","Havenogene","Havenogene","TK2","LIG3","GSR","Havenogene","AGPAT3","CISH","HPRT1","Havenogene","MYH9","Havenogene","Havenogene","LCP2","SGCE","Havenogene","Havenogene","JAK2","Havenogene","Havenogene","CTH","TCF19","ODC1","Havenogene","SLC6A8","SLAMF1","NPC1","ACSS1","MFN2","RARS1","Havenogene","ELP1","FMO1","FBLN5","Havenogene","KLF3","DCT","SERPINB6","Havenogene","Havenogene","CCL19","ADCYAP1","RELN","PTPRJ","Havenogene"
"124","PLPP3","TKTL1","Havenogene","FARP1","Havenogene","Havenogene","Havenogene","CSTF3","NUP50","BGN","Havenogene","BAZ2A","GLA","CDC6","Havenogene","IGF1","Havenogene","Havenogene","HLA-G","GNAI1","Havenogene","Havenogene","PLA2G4A","Havenogene","Havenogene","PSME3","RAD1","USP1","Havenogene","CALU","LCK","CASP6","ENO3","AIFM1","SLC16A3","Havenogene","WWP1","ASNS","PDLIM5","Havenogene","EPB41","LEFTY2","TNFSF11","Havenogene","Havenogene","PSMB10","ALOX15","KCNN4","NUDT11","Havenogene"
"125","KLF4","MT1E","Havenogene","SYNPO","Havenogene","Havenogene","Havenogene","GTF2H5","SLC7A5","BCL2L1","Havenogene","IDH3A","ADD3","FARP1","Havenogene","CKB","Havenogene","Havenogene","MT2A","PIK3CB","Havenogene","Havenogene","PRCP","Havenogene","Havenogene","CFP","LBR","RPL22","Havenogene","PRRX1","HIF1A","BPHL","IDH3G","ACAA2","GLRX","Havenogene","NUPR1","DDX21","MAPK14","Havenogene","LAMP2","ANG","GPX4","Havenogene","Havenogene","RPL39","MEP1B","TMEM176A","FSHB","Havenogene"
"126","CXCL11","ATP7A","Havenogene","RHOF","Havenogene","Havenogene","Havenogene","HPRT1","RBL1","GNA15","Havenogene","LIFR","PDLIM3","AMFR","Havenogene","FST","Havenogene","Havenogene","RIPK1","NLGN2","Havenogene","Havenogene","USP8","Havenogene","Havenogene","POLR3G","NBN","HNRNPA3","Havenogene","TNFRSF12A","AHR","IL1R1","LGALS1","ETFB","SRD5A3","Havenogene","TCN2","KCNH2","SRI","Havenogene","TMEM9B","C1QA","LRRC8C","Havenogene","Havenogene","EIF3J","SCG3","MAP4K1","IDUA","Havenogene"
"127","SAT1","MT2A","Havenogene","ECT2","Havenogene","Havenogene","Havenogene","BOLA2","NUMA1","MGMT","Havenogene","PREB","MINDY1","DHRS2","Havenogene","GPX3","Havenogene","Havenogene","KLRK1","YWHAH","Havenogene","Havenogene","RHOG","Havenogene","Havenogene","ACACA","PTTG1","NCBP1","Havenogene","FMOD","NMI","ENTPD5","METAP1","COX11","SDC3","Havenogene","CDKN2AIP","COL2A1","INPP4B","Havenogene","EZH1","HMGCS2","CCNE1","Havenogene","Havenogene","ABCE1","GFI1","PTGS2","TNNI3","Havenogene"
"128","CSF1","SDC3","Havenogene","EPB41","Havenogene","Havenogene","Havenogene","GPX4","RAD54L","PPT1","Havenogene","PTGER3","FOS","NXT1","Havenogene","PVALB","Havenogene","Havenogene","UPP1","PARVA","Havenogene","Havenogene","L3MBTL4","Havenogene","Havenogene","QDPR","UBR7","RPLP0","Havenogene","ID2","RHOG","TNFRSF1A","ALDOA","ECHS1","HDLBP","Havenogene","POM121","MAOA","IGFBP5","Havenogene","CTSB","ISCU","CASP3","Havenogene","Havenogene","CD8B","ELOVL3","IL33","GTF3C5","Havenogene"
"129","GPR183","TIPARP","Havenogene","RAPGEF6","Havenogene","Havenogene","Havenogene","MPC2","EFNA5","F2","Havenogene","GPHN","KRT8","S100A9","Havenogene","PTP4A3","Havenogene","Havenogene","PSMB2","CRAT","Havenogene","Havenogene","LAMP2","Havenogene","Havenogene","MCM2","POLE4","ABCE1","Havenogene","GEM","TPBG","IGFBP4","ACSM3","PMPCA","COL5A1","Havenogene","ZNF365","TCHH","ITGB3","Havenogene","ATG4A","PLEK","SH3BGRL2","Havenogene","Havenogene","F2","IL12RB2","MAFB","TFF2","Havenogene"
"130","PMEPA1","PKP1","Havenogene","KIF22","Havenogene","Havenogene","Havenogene","CDA","PRPF4B","IL6","Havenogene","PFKFB3","SLC37A1","SLC29A1","Havenogene","ITGB1","Havenogene","Havenogene","TDRD7","ADAMTS5","Havenogene","Havenogene","PIM1","Havenogene","Havenogene","PSMD12","TUBG1","EIF1AX","Havenogene","PLAUR","NPFFR2","PYCR1","LTC4S","ATP6V0B","CLDN9","Havenogene","EPHA2","CYB5B","BDNF","Havenogene","MFHAS1","APOC3","SNX9","Havenogene","Havenogene","ELF4","DMRT1","LCP1","SSTR4","Havenogene"
"131","PTPRE","ANXA2","Havenogene","PCGF5","Havenogene","Havenogene","Havenogene","ALYREF","UCK2","SC5D","Havenogene","GPX4","B4GALT1","SLC24A3","Havenogene","HSPB8","Havenogene","Havenogene","HIF1A","AMH","Havenogene","Havenogene","CXCL1","Havenogene","Havenogene","SC5D","CTCF","YWHAE","Havenogene","MYLK","IFNAR1","CSAD","D2HGDH","SLC25A5","TFF3","Havenogene","JUN","HSPA13","ID1","Havenogene","MYL4","P2RY1","PLEC","Havenogene","Havenogene","LY86","GAD1","NGF","COPZ2","Havenogene"
"132","TLR2","PGAM2","Havenogene","STAU1","Havenogene","Havenogene","Havenogene","MRPL40","ARID4A","IFITM3","Havenogene","SSPN","CALCR","FOXC1","Havenogene","ACHE","Havenogene","Havenogene","EIF4E3","EGFR","Havenogene","Havenogene","F3","Havenogene","Havenogene","CANX","CNOT9","MCM7","Havenogene","TGFB1","ICOSLG","VTN","ADSL","DLST","STC1","Havenogene","MAPKAPK3","GGH","SNAI2","Havenogene","RNF19A","USP11","BMP2","Havenogene","Havenogene","FCGR2B","CFTR","CA2","PDCD1","Havenogene"
"133","ACKR3","DDIT3","Havenogene","ARHGDIA","Havenogene","Havenogene","Havenogene","NPR2","CUL1","RNASEL","Havenogene","SQOR","ESRP2","KIF20A","Havenogene","CHRNG","Havenogene","Havenogene","VAMP8","ICAM2","Havenogene","Havenogene","GNAI2","Havenogene","Havenogene","RPN1","TUBB","YWHAQ","Havenogene","SFRP1","RASGRP1","ID2","SUCLA2","COX15","KIF20A","Havenogene","SLC7A11","GAL","SCN8A","Havenogene","BTG2","TIMP3","ICOS","Havenogene","Havenogene","GBP2","JAM3","SERPINA3","SLC16A7","Havenogene"
"134","KLF10","PRKCA","Havenogene","AURKA","Havenogene","Havenogene","Havenogene","REV3L","UPF1","EMP1","Havenogene","MTARC2","IGF1R","TOB1","Havenogene","PKIA","Havenogene","Havenogene","PFKP","CD274","Havenogene","Havenogene","CASP9","Havenogene","Havenogene","HSPA4","SMC6","VDAC1","Havenogene","PLOD3","IFITM1","ETFDH","SDHA","CYB5A","GYS2","Havenogene","SERTAD3","NTRK3","ATP2B1","Havenogene","SLC11A2","ACOX2","ALCAM","Havenogene","Havenogene","PRKCG","IP6K1","RGS16","KCNE2","Havenogene"
"135","MARCKS","SLC37A4","Havenogene","FBXO5","Havenogene","Havenogene","Havenogene","EDF1","DR1","CAV1","Havenogene","DLD","NBL1","FDFT1","Havenogene","NAV2","Havenogene","Havenogene","CD38","CDH15","Havenogene","Havenogene","XPNPEP1","Havenogene","Havenogene","NIBAN1","ZW10","SMARCC1","Havenogene","IL6","KCNJ2","HRG","XIST","ALAS1","SLC37A4","Havenogene","IRAK1","PPT1","FHL2","Havenogene","ADIPOR1","HNF4A","LTB","Havenogene","Havenogene","RPS9","HOXB1","CTSS","MFSD6","Havenogene"
"136","LAMB3","CXCR4","Havenogene","NUSAP1","Havenogene","Havenogene","Havenogene","GSDME","MNAT1","DNM1L","Havenogene","ITIH5","SFN","DNAJC1","Havenogene","HDAC5","Havenogene","Havenogene","ZBP1","SHC1","Havenogene","Havenogene","PLSCR1","Havenogene","Havenogene","TBK1","PA2G4","SNRPD2","Havenogene","APLP1","LY6E","TYR","OSTC","SLC25A4","LHPP","Havenogene","ABCC5","FGF18","KIT","Havenogene","ASNS","S100A1","ENPP1","Havenogene","Havenogene","MTIF2","Havenogene","USP12","KLHDC8A","Havenogene"
"137","CEBPB","EFNA3","Havenogene","PXN","Havenogene","Havenogene","Havenogene","TMED2","SMC2","ANXA1","Havenogene","CD302","OPN3","TPSAB1","Havenogene","ATP6AP1","Havenogene","Havenogene","BANK1","MPZL2","Havenogene","Havenogene","IRF7","Havenogene","Havenogene","SEC11A","SSRP1","HNRNPU","Havenogene","FBLN2","IL18R1","UPP1","GLUL","CPT1A","SDHC","Havenogene","UPP1","FKBP4","APBB2","Havenogene","DCUN1D1","GNB2","IL1RL1","Havenogene","Havenogene","GZMA","Havenogene","CPE","CNTFR","Havenogene"
"138","TRIP10","CP","Havenogene","BCAR1","Havenogene","Havenogene","Havenogene","STX3","RBM14","TOP2A","Havenogene","ATL2","ABHD2","GFUS","Havenogene","CLU","Havenogene","Havenogene","TOR1B","WNK4","Havenogene","Havenogene","CD55","Havenogene","Havenogene","BCAT1","NAP1L1","HDDC2","Havenogene","MSX1","IL10","BCAR1","CYP4A22","SLC25A20","NASP","Havenogene","CD81","STIP1","PIK3CD","Havenogene","ALDH1L1","ARF4","MYO1C","Havenogene","Havenogene","AARS1","Havenogene","SPARCL1","IL5","Havenogene"
"139","F2RL1","KLF7","Havenogene","CD2AP","Havenogene","Havenogene","Havenogene","RAE1","RPA2","ISG20","Havenogene","GPAT4","AR","FGFR3","Havenogene","ACSL1","Havenogene","Havenogene","RBCK1","NFASC","Havenogene","Havenogene","HSPA5","Havenogene","Havenogene","PSMB5","ANP32E","PSMD3","Havenogene","PTX3","KCNA3","CBR1","GABARAPL1","MTRR","AURKA","Havenogene","LIF","EIF5","DLC1","Havenogene","DCAF10","Havenogene","IFNGR1","Havenogene","Havenogene","CD96","Havenogene","ABCB1","NPHS1","Havenogene"
"140","KLF9","CCN2","Havenogene","AKAP13","Havenogene","Havenogene","Havenogene","UMPS","SQLE","SLC20A1","Havenogene","LPCAT3","SLC39A6","SGK1","Havenogene","COL1A1","Havenogene","Havenogene","PDE4B","PIK3R3","Havenogene","Havenogene","GNB2","Havenogene","Havenogene","PSMD13","HMGB3","RRM1","Havenogene","FZD8","HAS2","APOE","AQP7","COX17","B3GNT3","Havenogene","RPL36","ENO2","MT1E","Havenogene","YPEL5","Havenogene","PLIN2","Havenogene","Havenogene","CSK","Havenogene","USH1C","SCGB1A1","Havenogene"
"141","LDLR","CHST3","Havenogene","HDAC6","Havenogene","Havenogene","Havenogene","EIF1B","ORC6","MADD","Havenogene","TKT","SYT12","ID2","Havenogene","MRAS","Havenogene","Havenogene","MVP","SDC3","Havenogene","Havenogene","DYRK2","Havenogene","Havenogene","PGM1","IPO7","SF3A1","Havenogene","JUN","DCBLD2","SLC12A4","CYP1A1","CYB5R3","ISG20","Havenogene","FAM162A","GPX3","DBP","Havenogene","SEC14L1","Havenogene","IL18R1","Havenogene","Havenogene","HIF1A","Havenogene","CSF2RA","CCDC106","Havenogene"
"142","TGIF1","TPD52","Havenogene","CEP131","Havenogene","Havenogene","Havenogene","AK3","CDK4","PPP2R5B","Havenogene","UQCRC1","CD44","GALE","Havenogene","PDE4DIP","Havenogene","Havenogene","IL7","SIRPA","Havenogene","Havenogene","PLA2G7","Havenogene","Havenogene","PLK1","RAD21","LSM7","Havenogene","FERMT2","LAMP3","TMEM97","PRDX6","TOMM22","LDHC","Havenogene","RNF19B","PRKACA","HAS2","Havenogene","USP15","Havenogene","AHNAK","Havenogene","Havenogene","CCL2","Havenogene","BTBD3","PAX3","Havenogene"
"143","RNF19B","LXN","Havenogene","LLGL1","Havenogene","Havenogene","Havenogene","NUDT21","POLE","BCAP31","Havenogene","CAT","MED24","BATF","Havenogene","AGL","Havenogene","Havenogene","BPGM","GRB7","Havenogene","Havenogene","S100A12","Havenogene","Havenogene","GLRX","CDK4","ERH","Havenogene","DKK1","VIP","SLC46A3","ERP29","ACAT1","ARPP19","Havenogene","CDK5R1","PRKCD","SLC22A18","Havenogene","RIOK3","Havenogene","PRKCH","Havenogene","Havenogene","ICOSLG","Havenogene","IL2RG","VPREB1","Havenogene"
"144","DRAM1","B4GALNT2","Havenogene","ATG4B","Havenogene","Havenogene","Havenogene","RBX1","RASAL2","ERBB3","Havenogene","OMD","BCL11B","MAPK13","Havenogene","ERBB3","Havenogene","Havenogene","CMTR1","FLNC","Havenogene","Havenogene","GRB2","Havenogene","Havenogene","COPS5","CDKN1A","RPL14","Havenogene","SNAI2","CD70","PTGDS","H2AZ1","MRPS11","CENPA","Havenogene","STEAP3","STARD3","ICA1","Havenogene","SIDT2","Havenogene","TNFRSF8","Havenogene","Havenogene","NPM1","Havenogene","DNMBP","TSHB","Havenogene"
"145","B4GALT1","PPARGC1A","Havenogene","PCNT","Havenogene","Havenogene","Havenogene","SRSF6","HOXC10","NEDD9","Havenogene","DLAT","CANT1","FABP5","Havenogene","GABARAPL2","Havenogene","Havenogene","AUTS2","PARD6G","Havenogene","Havenogene","PHEX","Havenogene","Havenogene","ETF1","BRMS1L","PSMB3","Havenogene","DST","RGS1","MPP2","GAPDHS","ATP6V0C","HOMER1","Havenogene","PITPNC1","MARK2","Havenogene","Havenogene","FOXJ2","Havenogene","SYNGR2","Havenogene","Havenogene","IL4R","Havenogene","IL10RA","CACNA1F","Havenogene"
"146","DNAJB4","BCL2","Havenogene","ALMS1","Havenogene","Havenogene","Havenogene","GMPR2","RPS6KA5","SAT1","Havenogene","MRPL15","KRT13","MEST","Havenogene","CAV3","Havenogene","Havenogene","B2M","COL9A1","Havenogene","Havenogene","GNGT2","Havenogene","Havenogene","GSK3B","CTPS1","IFRD1","Havenogene","TPM4","SLC31A1","PTGR1","DHCR24","PDK4","BIK","Havenogene","SLC35D1","SLC6A12","Havenogene","Havenogene","TCEA1","Havenogene","GALM","Havenogene","Havenogene","CCL11","Havenogene","EREG","AKR1B10","Havenogene"
"147","CSF2","GCNT2","Havenogene","KPTN","Havenogene","Havenogene","Havenogene","DCTN4","CUL4A","PDCD4","Havenogene","RIOK3","KRT15","JAK1","Havenogene","BHLHE40","Havenogene","Havenogene","RIPK2","NRXN2","Havenogene","Havenogene","DOCK4","Havenogene","Havenogene","NUP205","RAD50","NCBP2","Havenogene","DCN","ADRM1","AQP9","GAD2","TIMM10","CYB5A","Havenogene","TPRKB","SQSTM1","Havenogene","Havenogene","VEZF1","Havenogene","POU2F1","Havenogene","Havenogene","NME1","Havenogene","PRELID3B","P2RX6","Havenogene"
"148","PDE4B","HAS1","Havenogene","DST","Havenogene","Havenogene","Havenogene","COX17","SLC7A1","BCL2L2","Havenogene","RTN3","TOB1","CYP4F11","Havenogene","PPP1R3C","Havenogene","Havenogene","CD69","MAP3K20","Havenogene","Havenogene","MMP12","Havenogene","Havenogene","SORD","TRA2B","GLO1","Havenogene","GJA1","KCNMB2","EPHA2","PTPRG","LDHA","HAX1","Havenogene","RRP8","PTPRD","Havenogene","Havenogene","LPIN2","Havenogene","EOMES","Havenogene","Havenogene","FLNA","Havenogene","EPHB2","KRT15","Havenogene"
"149","SNN","KLHL24","Havenogene","KIFAP3","Havenogene","Havenogene","Havenogene","CMPK2","FOXN3","FEZ1","Havenogene","CHUK","SLC7A2","KCNK5","Havenogene","LARGE1","Havenogene","Havenogene","MYD88","SLC30A3","Havenogene","Havenogene","KCNIP3","Havenogene","Havenogene","PHGDH","CSE1L","NDUFAB1","Havenogene","PMP22","SERPINE1","PSMB10","IL4I1","ECI1","COG2","Havenogene","IL1A","MAPK8IP2","Havenogene","Havenogene","PC","Havenogene","NOP2","Havenogene","Havenogene","GPR65","Havenogene","FBXO4","PAX4","Havenogene"
"150","PLEK","SCARB1","Havenogene","PPP4R2","Havenogene","Havenogene","Havenogene","CCNO","HMGA1","ERBB2","Havenogene","G3BP2","LAD1","CPE","Havenogene","LPIN1","Havenogene","Havenogene","PSMA2","RHOF","Havenogene","Havenogene","FDX1","Havenogene","Havenogene","GMPS","PAICS","CUL1","Havenogene","IGFBP4","MXD1","FAS","TP53INP2","MRPL11","IL13RA1","Havenogene","PMM1","CDK2","Havenogene","Havenogene","HBBP1","Havenogene","PTRH2","Havenogene","Havenogene","ACHE","Havenogene","CROT","BTG2","Havenogene"
"151","STAT5A","SLC25A1","Havenogene","ARHGAP29","Havenogene","Havenogene","Havenogene","Havenogene","SS18","DNAJA1","Havenogene","SDHC","TUBB2B","XRCC3","Havenogene","CDH13","Havenogene","Havenogene","PIM1","BMP1","Havenogene","Havenogene","TIMP2","Havenogene","Havenogene","RRP9","STAG1","NHP2","Havenogene","COPA","AXL","ACOX1","PDHA1","FXN","NOL3","Havenogene","TPD52L1","ONECUT1","Havenogene","Havenogene","CDR2","Havenogene","RHOH","Havenogene","Havenogene","EIF3D","Havenogene","MPZL2","GPR3","Havenogene"
"152","DENND5A","SDC2","Havenogene","RASAL2","Havenogene","Havenogene","Havenogene","Havenogene","TRAIP","DAP3","Havenogene","SAMM50","TBC1D30","CXCL14","Havenogene","NQO1","Havenogene","Havenogene","NOD1","MMP2","Havenogene","Havenogene","MMP8","Havenogene","Havenogene","EEF1E1","LUC7L3","CLNS1A","Havenogene","LRP1","MEFV","GART","RAP1GDS1","MRPS12","CLDN3","Havenogene","IFI30","RFC4","Havenogene","Havenogene","CCND3","Havenogene","CDC6","Havenogene","Havenogene","IGSF6","Havenogene","ANKH","GRID2","Havenogene"
"153","CCND1","CASP6","Havenogene","CCNB2","Havenogene","Havenogene","Havenogene","Havenogene","PRMT5","DPYD","Havenogene","ARL4A","SEC14L2","SCUBE2","Havenogene","PRNP","Havenogene","Havenogene","CFH","ICAM5","Havenogene","Havenogene","FCER1G","Havenogene","Havenogene","LTA4H","PPM1D","TRIM28","Havenogene","ITGA2","PVR","HPRT1","CEL","COX10","AGRN","Havenogene","GM2A","CA2","Havenogene","Havenogene","SLC25A38","Havenogene","MYO1E","Havenogene","Havenogene","F2R","Havenogene","CBR4","TCL1A","Havenogene"
"154","RIGI","VHL","Havenogene","PIF1","Havenogene","Havenogene","Havenogene","Havenogene","CUL5","NEFH","Havenogene","SNCG","ENDOD1","CDC20","Havenogene","PSEN2","Havenogene","Havenogene","TAPBP","VWF","Havenogene","Havenogene","RBSN","Havenogene","Havenogene","SDF2L1","NME1","RSL1D1","Havenogene","FLNA","CCL24","PGD","BLVRA","RHOT1","CLN6","Havenogene","RPS12","TACR3","Havenogene","Havenogene","TENT5C","Havenogene","CXCL10","Havenogene","Havenogene","IL13","Havenogene","DOCK2","PLAG1","Havenogene"
"155","SPHK1","FOXO3","Havenogene","RASA2","Havenogene","Havenogene","Havenogene","Havenogene","DDX39A","PAK1","Havenogene","PDCD4","HR","IL6ST","Havenogene","DAPK2","Havenogene","Havenogene","SLC25A28","MYH9","Havenogene","Havenogene","ANXA5","Havenogene","Havenogene","FKBP2","SRSF2","HNRNPC","Havenogene","MFAP5","PDE4B","ABCC3","SERINC1","ACAA1","TXN","Havenogene","EPS8L2","AMD1","Havenogene","Havenogene","FBXO34","Havenogene","SNX14","Havenogene","Havenogene","TAP1","Havenogene","GPRC5B","PKP1","Havenogene"
"156","CD80","PDGFB","Havenogene","NEDD9","Havenogene","Havenogene","Havenogene","Havenogene","MARCKS","FDXR","Havenogene","COQ9","SCARB1","GINS2","Havenogene","LSP1","Havenogene","Havenogene","PTPN1","CD209","Havenogene","Havenogene","CTSV","Havenogene","Havenogene","RDH11","XPO1","COPS5","Havenogene","PTHLH","LCP2","SMOX","BMPR1B","ACADSB","PAM","Havenogene","TM4SF1","HNRNPU","Havenogene","Havenogene","BACH1","Havenogene","IRF6","Havenogene","Havenogene","DARS1","Havenogene","RABGAP1L","IRS4","Havenogene"
"157","TNFAIP8","B3GALT6","Havenogene","SMC1A","Havenogene","Havenogene","Havenogene","Havenogene","PBK","GPX4","Havenogene","APLP2","NCOR2","TRIM29","Havenogene","SLC6A8","Havenogene","Havenogene","TNFAIP3","VCAM1","Havenogene","Havenogene","GCA","Havenogene","Havenogene","CXCR4","HNRNPD","XRCC6","Havenogene","TGFBR3","PDPN","TTPA","RDH11","LDHB","CAPN5","Havenogene","BLCAP","WIZ","Havenogene","Havenogene","NR3C1","Havenogene","IL10RA","Havenogene","Havenogene","IRF7","Havenogene","MALL","IL12B","Havenogene"
"158","CCNL1","SLC2A5","Havenogene","ACTN4","Havenogene","Havenogene","Havenogene","Havenogene","ORC5","ETF1","Havenogene","SOD1","RHOD","UNC13B","Havenogene","REEP1","Havenogene","Havenogene","SSPN","DHX16","Havenogene","Havenogene","EHD1","Havenogene","Havenogene","MLLT11","PMS2","SLC25A3","Havenogene","SFRP4","IRF7","HES6","ENO2","MRPS30","PKP2","Havenogene","MKNK2","CCK","Havenogene","Havenogene","AQP3","Havenogene","MAP6","Havenogene","Havenogene","ACVR2A","Havenogene","STRN","EPHA5","Havenogene"
"159","FUT4","SRPX","Havenogene","PKD2","Havenogene","Havenogene","Havenogene","Havenogene","SAP30","CCNA1","Havenogene","PTCD3","INPP5F","LAMC2","Havenogene","EIF4A2","Havenogene","Havenogene","NUP93","ACTG2","Havenogene","Havenogene","PRSS3","Havenogene","Havenogene","GCLC","ASF1A","MRPL9","Havenogene","LGALS1","MET","GCNT2","Havenogene","ATP1B1","ABCB6","Havenogene","CD82","Havenogene","Havenogene","Havenogene","TRIM58","Havenogene","TNFSF10","Havenogene","Havenogene","CXCR3","Havenogene","ST6GAL1","SOX10","Havenogene"
"160","CCRL2","EFNA1","Havenogene","CLIP2","Havenogene","Havenogene","Havenogene","Havenogene","KATNA1","GUCY2D","Havenogene","PHLDB1","PPIF","LARGE1","Havenogene","SH2B1","Havenogene","Havenogene","MTHFD2","NEGR1","Havenogene","Havenogene","COL4A2","Havenogene","Havenogene","TCEA1","EXOSC8","POLE3","Havenogene","RGS4","ATP2A2","MAN1A1","Havenogene","BDH2","DCN","Havenogene","RACK1","Havenogene","Havenogene","Havenogene","LMO2","Havenogene","SPRED2","Havenogene","Havenogene","PRKCB","Havenogene","PIGR","SNN","Havenogene"
"161","SPSB1","GLRX","Havenogene","CDC42","Havenogene","Havenogene","Havenogene","Havenogene","HNRNPD","AVPR1A","Havenogene","ENPP2","DHRS3","SLC2A8","Havenogene","MYBPC3","Havenogene","Havenogene","CDKN1A","NF1","Havenogene","Havenogene","CSRP1","Havenogene","Havenogene","MAP2K3","MLH1","POLD2","Havenogene","CDH6","SLC31A2","IGFBP1","Havenogene","SLC25A12","GMPPA","Havenogene","ST14","Havenogene","Havenogene","Havenogene","PICALM","Havenogene","SELL","Havenogene","Havenogene","CXCL9","Havenogene","VWA5A","CACNG1","Havenogene"
"162","TSC22D1","ACKR3","Havenogene","NDC80","Havenogene","Havenogene","Havenogene","Havenogene","POLA2","Havenogene","Havenogene","HSPB8","FDFT1","PLXNB1","Havenogene","ITGA7","Havenogene","Havenogene","IRF4","ADAM23","Havenogene","Havenogene","PIK3R5","Havenogene","Havenogene","HSPD1","NUP107","H2AZ1","Havenogene","SAT1","FZD5","ITIH4","Havenogene","TIMM50","BPNT1","Havenogene","TCHH","Havenogene","Havenogene","Havenogene","NCOA4","Havenogene","SERPINC1","Havenogene","Havenogene","PTPN6","Havenogene","PSMB8","SPHK2","Havenogene"
"163","B4GALT5","PAM","Havenogene","TLK1","Havenogene","Havenogene","Havenogene","Havenogene","HIRA","Havenogene","Havenogene","AIFM1","GAB2","PRKAR2B","Havenogene","SPTAN1","Havenogene","Havenogene","NFKB1","PLCG1","Havenogene","Havenogene","SERPINC1","Havenogene","Havenogene","SYTL2","ORC2","AIMP2","Havenogene","NT5E","ITGA5","PROS1","Havenogene","MRPL34","ANG","Havenogene","HDAC3","Havenogene","Havenogene","Havenogene","GDE1","Havenogene","CDCP1","Havenogene","Havenogene","NCF4","Havenogene","F13A1","IGFBP2","Havenogene"
"164","SIK1","TGFBI","Havenogene","TAOK2","Havenogene","Havenogene","Havenogene","Havenogene","HIF1A","Havenogene","Havenogene","CCNG2","UNC119","RPS6KA2","Havenogene","SORBS3","Havenogene","Havenogene","BATF2","KCNH2","Havenogene","Havenogene","ANG","Havenogene","Havenogene","MCM4","TP53","NOP56","Havenogene","DPYSL3","SGMS2","TPST1","Havenogene","ISCA1","GPR87","Havenogene","CCNK","Havenogene","Havenogene","Havenogene","SLC6A9","Havenogene","RORA","Havenogene","Havenogene","UBE2D1","Havenogene","NRP1","CAPN9","Havenogene"
"165","CLCF1","DCN","Havenogene","TBCD","Havenogene","Havenogene","Havenogene","Havenogene","SYNCRIP","Havenogene","Havenogene","PPP1R15B","KLF10","HSPA4L","Havenogene","PC","Havenogene","Havenogene","HLA-B","CERCAM","Havenogene","Havenogene","APOBEC3F","Havenogene","Havenogene","PPP1R15A","TFRC","PRDX3","Havenogene","PPIB","MARCO","LEAP2","Havenogene","MRPL35","GAL3ST1","Havenogene","RHBDF2","Havenogene","Havenogene","Havenogene","NNT","Havenogene","COCH","Havenogene","Havenogene","LIF","Havenogene","SOX9","TCF7L1","Havenogene"
